id,name,url,brand,price
408968,"Колбаса Окраина Немецкая сырокопченая, ~570г",https://online.metro-cc.ru/products/nemeckaya-syrokopchenaya-okraina,ОКРАИНА,1 739
538087,"Колбаса Дымов Чоризо сырокопченая нарезка, 1кг",https://online.metro-cc.ru/products/art_59660,ДЫМОВ,878
416829,"Колбаса Черкизово Сервелат варено-копченая ГОСТ, 500г",https://online.metro-cc.ru/products/servelat-cherkizovo-vareno-gost-500g,ЧЕРКИЗОВО,499
230525,"Колбаса Велком Кальяри сырокопченая, 235г",https://online.metro-cc.ru/products/kalyari-velkom-syrokopchenaya-235g,ВЕЛКОМ,499
544634,"METRO Chef Ветчина вареная с курицей, ~1кг",https://online.metro-cc.ru/products/metro-chef-s-kuricej-1-kg,METRO CHEF,419
121173,"Колбаса Останкино Еврейская сырокопченая, ~475г",https://online.metro-cc.ru/products/ostankino-evrejskaya-syrokopchenaya,ОСТАНКИНО,1 909
109673,"Колбаса Охотный Ряд Швейцарская сыровяленая, ~375г",https://online.metro-cc.ru/products/shvejcarskaya-mikoyan-s-v,ОХОТНЫЙ РЯД,1 129
108090,"Колбаса Велком Докторская вареная, 500г",https://online.metro-cc.ru/products/doktorskaya-velkom-500g,ВЕЛКОМ,309
179508,"Ветчина Велком из окорока, 500г",https://online.metro-cc.ru/products/iz-okoroka-velkom-500g,ВЕЛКОМ,449
381562639,"Колбаса Мясницкий ряд праздничная сырокопченая, 200г",https://online.metro-cc.ru/products/200g-kolbasa-myasnitskiy-ryad-prazdnichnaya-sk-vu,МЯСНИЦКИЙ РЯД,189
193391,"Колбаса Охотный Ряд Испанская сырокопченая, ~625г",https://online.metro-cc.ru/products/ispanskaya-mikoyan-s-k,ОХОТНЫЙ РЯД,809
562660,"Ветчина Черкизово По-черкизовски, 500г",https://online.metro-cc.ru/products/art_66436,ЧЕРКИЗОВО,329
419986,"Колбаса Мясницкий ряд Сервелат Европейский варено-копченый, ~750г",https://online.metro-cc.ru/products/myasnickij-ryad-evropejskij-servelat,МЯСНИЦКИЙ РЯД,569
441668,"Колбаса Casademont Fuet Extra с инжиром сыровяленая, 110г",https://online.metro-cc.ru/products/casademont-fuet-extra-syrovyalenaya-s-inzhirom-110g,CASADEMONT,319
469146,"Колбаса Ремит Докторская вареная, 500г",https://online.metro-cc.ru/products/remit-doktorskaya-500-g,РЕМИТ,389
583487,"Колбаса Велком Краковская полукопченая, 360г",https://online.metro-cc.ru/products/kolbasa-polukopchenaya-velkom-krakovskaya-360g,ВЕЛКОМ,279
11724546,"Колбаса Клинский сервелат финский варено-копченая, 290г",https://online.metro-cc.ru/products/kolbasa-klinskiy-servelat-finskiy-vareno-kopchenaya-290g,КЛИНСКИЙ,239
490610,"METRO Chef Сервелат зернистый варено-копченый, 500г",https://online.metro-cc.ru/products/art_624297,METRO CHEF,349
593830793,"Колбаса Мясной дом Бородина докторская, 400г",https://online.metro-cc.ru/products/400g-kolbasa-doktorskaya-myasnoy-dom-borodina-bo-vu,МЯСНОЙ ДОМ БОРОДИНА,229
560626,"METRO Chef Салями мини с беконом, 500г",https://online.metro-cc.ru/products/salyami-mini-metro-chef-s-bekonom-500-g,METRO CHEF,619
553768,"Колбаса Велком Миланская сырокопченая сухая нарезка, 150г",https://online.metro-cc.ru/products/velkom-milano-syrokopchenaya-gzs-150g,ВЕЛКОМ,219
423609,"Колбаса Папа Может Филейная вареная, 500г",https://online.metro-cc.ru/products/papa-mozhet-filejnaya-500-g,ПАПА МОЖЕТ,249
533556,"Колбаса Ремит Докторская вареная, ~1кг",https://online.metro-cc.ru/products/doktorskaya-remit-bez-obolochki,РЕМИТ,839
